id,external_id,annotations,compound_id,creator_id,updater_id,created_at,updated_at
130,LMPK12111486,"Flavones and Flavonols
",691,,,2015-02-23 22:47:57 UTC,2015-02-23 22:47:57 UTC
131,C14536,"Isoflavonoids
isoflavones
",698,,,2015-02-23 22:48:06 UTC,2015-02-23 22:48:06 UTC
132,LMPK12050104,"Isoflavonoids
",698,,,2015-02-23 22:48:06 UTC,2015-02-23 22:48:06 UTC
133,CHEBI:77444,"alkene
",699,,,2015-02-23 22:48:07 UTC,2015-02-23 22:48:07 UTC
134,LMFA11000332,"Hydrocarbons
",699,,,2015-02-23 22:48:07 UTC,2015-02-23 22:48:07 UTC
135,CHEBI:32368,"medium-chain fatty acid
straight-chain saturated fatty acid
",700,,,2015-02-23 22:48:09 UTC,2015-02-23 22:48:09 UTC
136,C17715,"Straight chain fatty acids
",700,,,2015-02-23 22:48:09 UTC,2015-02-23 22:48:09 UTC
137,LMFA01010011,"Straight chain fatty acids
",700,,,2015-02-23 22:48:10 UTC,2015-02-23 22:48:10 UTC
138,LMGL03010003,"Triacylglycerols
",704,,,2015-02-23 22:48:16 UTC,2015-02-23 22:48:16 UTC
139,CHEBI:15354,"cholines
",710,,,2015-02-23 22:48:27 UTC,2015-02-23 22:48:27 UTC
140,C00114,"Pesticides
",710,,,2015-02-23 22:48:27 UTC,2015-02-23 22:48:27 UTC
141,CHOLINE,"a small molecule
",710,,,2015-02-23 22:48:27 UTC,2015-02-23 22:48:27 UTC
142,CPD-8223,"a halide
",725,,,2015-02-23 22:48:48 UTC,2015-02-23 22:48:48 UTC
143,CHEBI:27789,"chloroethanes
",726,,,2015-02-23 22:48:51 UTC,2015-02-23 22:48:51 UTC
144,12-DICHLOROETHANE,"a small molecule
",726,,,2015-02-23 22:48:51 UTC,2015-02-23 22:48:51 UTC
145,CHEBI:37127,"alpha,beta-unsaturated monocarboxylic acid
monounsaturated fatty acid
methyl-branched fatty acid
short-chain fatty acid
",736,,,2015-02-23 22:49:03 UTC,2015-02-23 22:49:03 UTC
146,LMFA01020097,"Branched fatty acids
",736,,,2015-02-23 22:49:03 UTC,2015-02-23 22:49:03 UTC
147,CHEBI:36596,"carbonate ester
",737,,,2015-02-23 22:49:04 UTC,2015-02-23 22:49:04 UTC
148,CHEBI:38358,"alpha,beta-unsaturated monocarboxylic acid
sorbic acid
",738,,,2015-02-23 22:49:05 UTC,2015-02-23 22:49:05 UTC
149,LMFA01030100,"Unsaturated fatty acids
",738,,,2015-02-23 22:49:05 UTC,2015-02-23 22:49:05 UTC
150,CHEBI:36592,"pyrrolidine-2-ones
",741,,,2015-02-23 22:49:09 UTC,2015-02-23 22:49:09 UTC
151,CHEBI:63866,"primary aliphatic amine
",745,,,2015-02-23 22:49:13 UTC,2015-02-23 22:49:13 UTC
152,CHEBI:9661,"triglyceride
",751,,,2015-02-23 22:49:16 UTC,2015-02-23 22:49:16 UTC
